121
"HW"	"RW"	"W"
5743355,82700	32748806,60200	64,70
5743355,82700	32748971,66778	70,40
5743355,82700	32749136,73356	45,50
5743355,82700	32749301,79934	63,70
5743355,82700	32749466,86513	76,70
5743355,82700	32749631,93091	92,20
5743355,82700	32749796,99669	39,80
5743355,82700	32749962,06247	85,00
5743355,82700	32750127,12825	38,90
5743355,82700	32750292,19403	12,10
5743355,82700	32750457,25981	31,40
5743278,43352	32748806,60200	14,40
5743278,43352	32748971,66778	28,90
5743278,43352	32749136,73356	81,60
5743278,43352	32749301,79934	17,30
5743278,43352	32749466,86513	5,60
5743278,43352	32749631,93091	81,80
5743278,43352	32749796,99669	27,90
5743278,43352	32749962,06247	93,10
5743278,43352	32750127,12825	30,20
5743278,43352	32750292,19403	45,50
5743278,43352	32750457,25981	89,10
5743201,04004	32748806,60200	52,70
5743201,04004	32748971,66778	14,70
5743201,04004	32749136,73356	14,50
5743201,04004	32749301,79934	17,90
5743201,04004	32749466,86513	88,40
5743201,04004	32749631,93091	3,00
5743201,04004	32749796,99669	98,30
5743201,04004	32749962,06247	83,20
5743201,04004	32750127,12825	98,90
5743201,04004	32750292,19403	92,20
5743201,04004	32750457,25981	89,10
5743123,64656	32748806,60200	22,50
5743123,64656	32748971,66778	54,60
5743123,64656	32749136,73356	32,60
5743123,64656	32749301,79934	36,40
5743123,64656	32749466,86513	71,00
5743123,64656	32749631,93091	5,10
5743123,64656	32749796,99669	99,80
5743123,64656	32749962,06247	42,80
5743123,64656	32750127,12825	21,90
5743123,64656	32750292,19403	24,90
5743123,64656	32750457,25981	95,70
5743046,25308	32748806,60200	90,80
5743046,25308	32748971,66778	50,80
5743046,25308	32749136,73356	50,20
5743046,25308	32749301,79934	43,20
5743046,25308	32749466,86513	75,20
5743046,25308	32749631,93091	42,40
5743046,25308	32749796,99669	4,90
5743046,25308	32749962,06247	20,00
5743046,25308	32750127,12825	70,50
5743046,25308	32750292,19403	75,90
5743046,25308	32750457,25981	67,60
5742968,85960	32748806,60200	52,10
5742968,85960	32748971,66778	25,00
5742968,85960	32749136,73356	78,90
5742968,85960	32749301,79934	9,50
5742968,85960	32749466,86513	58,20
5742968,85960	32749631,93091	88,00
5742968,85960	32749796,99669	35,50
5742968,85960	32749962,06247	2,60
5742968,85960	32750127,12825	79,80
5742968,85960	32750292,19403	77,30
5742968,85960	32750457,25981	28,80
5742891,46612	32748806,60200	63,00
5742891,46612	32748971,66778	5,90
5742891,46612	32749136,73356	73,30
5742891,46612	32749301,79934	36,40
5742891,46612	32749466,86513	41,30
5742891,46612	32749631,93091	5,60
5742891,46612	32749796,99669	63,50
5742891,46612	32749962,06247	31,30
5742891,46612	32750127,12825	65,30
5742891,46612	32750292,19403	93,80
5742891,46612	32750457,25981	33,80
5742814,07264	32748806,60200	13,40
5742814,07264	32748971,66778	17,70
5742814,07264	32749136,73356	44,00
5742814,07264	32749301,79934	94,90
5742814,07264	32749466,86513	34,40
5742814,07264	32749631,93091	12,10
5742814,07264	32749796,99669	31,80
5742814,07264	32749962,06247	83,00
5742814,07264	32750127,12825	36,90
5742814,07264	32750292,19403	56,00
5742814,07264	32750457,25981	88,60
5742736,67916	32748806,60200	82,80
5742736,67916	32748971,66778	60,00
5742736,67916	32749136,73356	81,50
5742736,67916	32749301,79934	23,70
5742736,67916	32749466,86513	39,40
5742736,67916	32749631,93091	45,40
5742736,67916	32749796,99669	2,50
5742736,67916	32749962,06247	47,40
5742736,67916	32750127,12825	4,90
5742736,67916	32750292,19403	89,40
5742736,67916	32750457,25981	95,50
5742659,28568	32748806,60200	31,90
5742659,28568	32748971,66778	66,90
5742659,28568	32749136,73356	80,60
5742659,28568	32749301,79934	92,30
5742659,28568	32749466,86513	92,80
5742659,28568	32749631,93091	37,40
5742659,28568	32749796,99669	59,60
5742659,28568	32749962,06247	22,00
5742659,28568	32750127,12825	33,30
5742659,28568	32750292,19403	4,50
5742659,28568	32750457,25981	43,90
5742581,89220	32748806,60200	14,40
5742581,89220	32748971,66778	42,40
5742581,89220	32749136,73356	62,80
5742581,89220	32749301,79934	66,50
5742581,89220	32749466,86513	49,20
5742581,89220	32749631,93091	91,00
5742581,89220	32749796,99669	31,40
5742581,89220	32749962,06247	53,40
5742581,89220	32750127,12825	92,10
5742581,89220	32750292,19403	24,50
5742581,89220	32750457,25981	21,90
